Identifier	Character	Dialogue	Filename	Line Number	Ren'Py Script
yieee_37b1021b	tr	but guys hehe...	game/chloe_script.rpy	182	tr "[what]"
yieee_3f23eb4f	tr	guys....	game/chloe_script.rpy	183	tr "[what]"
yieee_ca02308c	tr	guys...	game/chloe_script.rpy	184	tr "[what]"
yieee_70599607	tr	guys we need to hurry were going to be late…	game/chloe_script.rpy	185	tr "[what]"
yieee_707c212c	pm	Guys here the copy of the report on what happen today you can pass this to the school so you three can still enter to the school…	game/chloe_script.rpy	189	pm "[what]"
yieee_93e4b67a	me	Thank you sir..	game/chloe_script.rpy	192	me "[what]"
yieee_0652efe1	c	Thank you so much sir…	game/chloe_script.rpy	195	c "[what]"
yieee_00ad7609	pm	welcome...	game/chloe_script.rpy	198	pm "[what]"
school_9c3c4b78		after a minute you three arrive in the school	game/chloe_script.rpy	203	"[what]"
school_01f231d1	sg	why are you late?	game/chloe_script.rpy	205	sg "[what]"
school_531bde75	tr	we get involved in trouble in the train hehe..	game/chloe_script.rpy	207	tr "[what]"
school_f2c772df	sg	oh I see.. before i let you in i have question..	game/chloe_script.rpy	209	sg "[what]"
school_e4f3210e	me	what if we did not answer correctly your question?	game/chloe_script.rpy	211	me "[what]"
school_a18947ae	sg	i still let you in hehe...	game/chloe_script.rpy	213	sg "[what]"
school_7891dfad	sg	this is the question...	game/chloe_script.rpy	214	sg "[what]"
school_c357ca0a	sg	what is the other term of bawal bastos law?	game/chloe_script.rpy	217	sg "[what]" nointeract
school_998c41e6		wrong answer	game/chloe_script.rpy	220	"[what]"
school_998c41e6_1		wrong answer	game/chloe_script.rpy	225	"[what]"
school_ddd8de3b		correct!..	game/chloe_script.rpy	230	"[what]"
ewww_8f3e5c93	sg	okay you can come in now	game/chloe_script.rpy	238	sg "[what]"
ewww_b33be86a	sg	and don't forget to tell your teachers on what happen so you tree are excuse..	game/chloe_script.rpy	239	sg "[what]"
ewww_ddba9a62	me	Yes sir..	game/chloe_script.rpy	241	me "[what]"
Act_2_School_8d6f64af	centered		game/MallScript.rpy	29	centered "[what]"
Act_2_School_231a0cc9	m	Oh, no one's here yet. I guess I'm too early.	game/MallScript.rpy	37	m "[what]"
Act_2_School_33285b76	m	I should take a quick nap.	game/MallScript.rpy	41	m "[what]"
Act_2_School_0e1386f9	u	Wake up,hey wake up. Class will be starting in a minute.	game/MallScript.rpy	48	u "[what]"
class1_cf4d1b40	m	.............	game/MallScript.rpy	69	m "[what]"
class1_ec05f29e	tsci	The class has already started, if you want to sleep feel free to leave this room.	game/MallScript.rpy	71	tsci "[what]"
class1_5d98213f	m	I'm sorry miss it won't happen again.	game/MallScript.rpy	74	m "[what]"
class1_92cb2949	centered	Few Hours later.	game/MallScript.rpy	77	centered "[what]"
class2_9e4c2277	m	Ah the class is starting.	game/MallScript.rpy	87	m "[what]"
class2_2fe70fdb	tsci	Good morning everyone, we will begin our class but first of all let's get your attendance.	game/MallScript.rpy	90	tsci "[what]"
class2_92cb2949	centered	Few Hours later.	game/MallScript.rpy	93	centered "[what]"
lunchbreak_89915992	tsci	Ok class dismiss,don't forget your activity for the next meeting.	game/MallScript.rpy	106	tsci "[what]"
lunchbreak_7481c359	tsci	Also remember to cooperate with your members.	game/MallScript.rpy	109	tsci "[what]"
lunchbreak_c101ed7f	bob	Ah my head hurts, I can't keep up with the lessons.	game/MallScript.rpy	118	bob "[what]"
lunchbreak_df24ff75	mc	This is [bob]. My friend in my first year here	game/MallScript.rpy	122	mc "[what]"
lunchbreak_72d97ae3	mc	He's an athlete person being pursuaded by multiple sports club	game/MallScript.rpy	124	mc "[what]"
lunchbreak_846d8549	mc	But the guy is lazy and not serious most of the time	game/MallScript.rpy	126	mc "[what]"
lunchbreak_2fc93966	mc	Well... he's still a good and reliable person	game/MallScript.rpy	128	mc "[what]"
lunchbreak_c31fe548	kk	That's what you always say when your studying.	game/MallScript.rpy	133	kk "[what]"
lunchbreak_d85d7d4b	bob	But the given group activity is kinda hard.	game/MallScript.rpy	136	bob "[what]"
lunchbreak_fd8aec63	kk	Yes,it will be hard for the group your joining.	game/MallScript.rpy	139	kk "[what]"
lunchbreak_f54b9f44	bob	What do you mean by that.I won't burden to my group.	game/MallScript.rpy	142	bob "[what]"
lunchbreak_e5e98b62	bob	Right?	game/MallScript.rpy	143	bob "[what]"
ask2_21e772f2	m	Yes, I'm glad that your part of my group.	game/MallScript.rpy	153	m "[what]"
ask2_f679378e	bob	See? I told you.	game/MallScript.rpy	155	bob "[what]"
ask2_896c5e66	kk	What your part of Bob's group!? Dude I want to be in your group.	game/MallScript.rpy	157	kk "[what]"
ask2_3c85ca6e	m	Well your neither the best nor the worst.	game/MallScript.rpy	165	m "[what]"
ask2_5d466c2e	bob	Why do I feel like your insulting me.	game/MallScript.rpy	167	bob "[what]"
ask2_6c6a7a64	kk	It's because your lazy and only do financial support.	game/MallScript.rpy	169	kk "[what]"
ask2_ad006061	bob	I also do moral support those two are enough.	game/MallScript.rpy	171	bob "[what]"
ask2_50ef7fc0	kk	No, it's still not enough.	game/MallScript.rpy	173	kk "[what]"
Act2_1c66056d	natalie	H-hello your [mc] right?	game/MallScript.rpy	181	natalie "[what]"
Act2_00a2b8d3	m	Yes I am,what is it?	game/MallScript.rpy	183	m "[what]"
Act2_b3307a5b	bob	Ho,Hello there cutie.	game/MallScript.rpy	186	bob "[what]"
Act2_d2a111fa	natalie	Oo-oh he-hello.	game/MallScript.rpy	189	natalie "[what]"
Act2_32f8bbb0	bob	You're new here? Come join here eat with us.	game/MallScript.rpy	192	bob "[what]"
Act2_5bc498b1	bob	Aw, what's wrong your with you?	game/MallScript.rpy	197	bob "[what]"
Act2_f1348a5d	kk	Stop hitting with all the girls in the school,dude!	game/MallScript.rpy	201	kk "[what]"
Act2_b49eaa3c	bob	I'm just asking her to join us.	game/MallScript.rpy	204	bob "[what]"
Act2_129d8283	m	Don't mind them, Is there something you want?	game/MallScript.rpy	206	m "[what]"
Act2_f069fe3e	natalie	Ummm...	game/MallScript.rpy	210	natalie "[what]"
Act2_10a02a7e	bob	Speak up don't be shy.	game/MallScript.rpy	212	bob "[what]"
Act2_bf0c5bc4	natalie	A-aabout t-the...	game/MallScript.rpy	214	natalie "[what]"
Act2_7e4949cd	kk	Hey are you ok?	game/MallScript.rpy	218	kk "[what]"
Act2_79fcfdf6	natalie	Y-yyees	game/MallScript.rpy	222	natalie "[what]"
Act2_5d67805c	bob	Ah! just give the letter he'll read it.	game/MallScript.rpy	225	bob "[what]"
Act2_e4506e7d		BONK!	game/MallScript.rpy	228	"[what]" with vpunch
Act2_33c09c5f	bob	Aw! could you please stop hitting mc?	game/MallScript.rpy	230	bob "[what]"
Act2_8d54e401	kk	Seriously?	game/MallScript.rpy	234	kk "[what]"
Act2_e0059863	bob	I'm just kidding man.	game/MallScript.rpy	237	bob "[what]"
Act2_76dfe586	natalie	Aa-about the group...	game/MallScript.rpy	241	natalie "[what]"
Act2_09e6cbeb	bob	Oh if you want us to be your friends, sure no problem.	game/MallScript.rpy	244	bob "[what]"
Act2_eddd5591	m	Yes, he's right feel free to talk to us.	game/MallScript.rpy	246	m "[what]"
Act2_dd56c06b	kk	I think she's trying to tell that she's part of your group activity.	game/MallScript.rpy	250	kk "[what]"
Act2_cf9b553c	natalie	Yes...	game/MallScript.rpy	254	natalie "[what]"
Act2_a446e3e3	kk	She's the tranferee.	game/MallScript.rpy	258	kk "[what]"
Act2_068bfc40	bob	[natalie]? Oh the new girl in our class!	game/MallScript.rpy	261	bob "[what]"
Act2_1f4f36f8	m	Now that I think about it	game/MallScript.rpy	263	m "[what]"
Act2_af646e13		[natalie] a new female student in our class. A tranferee in the middle of prelims.	game/MallScript.rpy	268	"[what]"
Act2_404f56ae		I don't know anything about her,well... guess she's a shy person.	game/MallScript.rpy	269	"[what]"
Act2_5f81a267	m	About the group activity. Why don't be talk about it after school?	game/MallScript.rpy	276	m "[what]"
Act2_bd7b1cd5	bob	Right, we can go to the foodcourt in the mall.	game/MallScript.rpy	278	bob "[what]"
Act2_d1f5ac13	natalie	O-ook.	game/MallScript.rpy	280	natalie "[what]"
Act2_068ac08e	m	It's decided then see you later!	game/MallScript.rpy	281	m "[what]"
Act_2_School_Chapter2_951b0501	m	It seems I'm the first one here.	game/MallScript.rpy	289	m "[what]"
Act_2_School_Chapter2_37a63f0e	natalie	.....	game/MallScript.rpy	292	natalie "[what]"
Act_2_School_Chapter2_bed69777	m	Looks to the side	game/MallScript.rpy	294	m "[what]"
Act_2_School_Chapter2_cd3841f0	m	Oh, you're here.	game/MallScript.rpy	298	m "[what]"
Act_2_School_Chapter2_f5d694f6	natalie	So-sorry for being late.	game/MallScript.rpy	301	natalie "[what]"
Act_2_School_Chapter2_0c2678ce	m	You're not late and were still waiting for [bob].	game/MallScript.rpy	303	m "[what]"
Act_2_School_Chapter2_37a63f0e_1	natalie	.....	game/MallScript.rpy	306	natalie "[what]"
Act_2_School_Chapter2_7c05cae2	m	.....	game/MallScript.rpy	308	m "[what]"
Act_2_School_Chapter2_178573bb	m	(This is bad. It might get awkward here until [bob] comes, what should I do?)	game/MallScript.rpy	310	m "[what]"
Act_2_School_1_2956c207	m	The weather is nice today.	game/MallScript.rpy	326	m "[what]"
Act_2_School_1_25d99c1a	natalie	Yes and the wearther report says to be sunny and not expect to rain.	game/MallScript.rpy	329	natalie "[what]"
Act_2_School_1_e043129d	m	It seems you watch a lot of weather forecast.	game/MallScript.rpy	331	m "[what]"
Act_2_School_1_b9b50c65	natalie	I do like seeing the weather forecast.	game/MallScript.rpy	334	natalie "[what]"
Act_2_School_1_646ac61b	m	Is there something you like other than that?	game/MallScript.rpy	336	m "[what]"
Act_2_School_1_5f18cd26	natalie	I like to read books and p-play some video games.	game/MallScript.rpy	339	natalie "[what]"
Act_2_School_1_b0af8091	m	Oh really?! That's awesome, is there something you recommend to read?	game/MallScript.rpy	341	m "[what]"
Act_2_School_1_b2244a94	bob	Heyoo, Sorry for being late the match took longer than I expected.	game/MallScript.rpy	344	bob "[what]"
Act_2_School_1_b8afb747	m	Ok now that everyones here.Are we ready to go?	game/MallScript.rpy	346	m "[what]"
Act_2_School_1_accce1a7	bob	Yep, I'm ready.	game/MallScript.rpy	349	bob "[what]"
Act_2_School_1_595e5734	natalie	I'm good to go.	game/MallScript.rpy	352	natalie "[what]"
Act_2_School_2_d2362efe		You waited [bob] in silence	game/MallScript.rpy	363	"[what]"
Act_2_School_2_b2244a94	bob	Heyoo, Sorry for being late the match took longer than I expected.	game/MallScript.rpy	366	bob "[what]"
Act_2_School_2_b8afb747	m	Ok now that everyones here.Are we ready to go?	game/MallScript.rpy	368	m "[what]"
Act_2_School_2_accce1a7	bob	Yep, I'm ready.	game/MallScript.rpy	371	bob "[what]"
Act_2_School_2_37a63f0e	natalie	.....	game/MallScript.rpy	374	natalie "[what]"
Act_3_Mall_ec03e51b	bob	We're here. Are we going to buy materials or we eat first?	game/MallScript.rpy	390	bob "[what]"
Act_3_Mall1_058bf563	m	We should buy materials first.	game/MallScript.rpy	406	m "[what]"
Act_3_Mall1_efcb59e5	bob	Ok let's go to the store.	game/MallScript.rpy	408	bob "[what]"
Act_3_Mall1_be414d7a	centered	You guys bought the things you need.	game/MallScript.rpy	410	centered "[what]"
Act_3_Mall2_00e8d952	m	We shoud go and eat first.	game/MallScript.rpy	419	m "[what]"
Act_3_Mall2_096b624d	bob	Ok let's go and eat then	game/MallScript.rpy	421	bob "[what]"
Act_3_Mall3_d104b198	m	Now that we are ready, shall we start?	game/MallScript.rpy	431	m "[what]"
Act_3_Mall3_b5804e8b	bob	Sure.	game/MallScript.rpy	434	bob "[what]"
Act_3_Mall3_e0ba2bc5	natalie	Ok.	game/MallScript.rpy	437	natalie "[what]"
Act_3_Mall3_ff938f07		A couple of minutes later.	game/MallScript.rpy	444	"[what]"
Act_3_Mall3_761d9988	m	We should take a quick break.	game/MallScript.rpy	447	m "[what]"
Act_3_Mall3_6fc58f5a	bob	Finally.	game/MallScript.rpy	450	bob "[what]"
Act_3_Mall3_0deaf11f	natalie	Excuse me, I gotta fo to the bathroom.	game/MallScript.rpy	453	natalie "[what]"
Act_3_Mall3_986c3554	bob	[mc], you should buy some snacks.	game/MallScript.rpy	457	bob "[what]"
Act_3_Mall3_55366f5c	m	Why don't you buy some.	game/MallScript.rpy	459	m "[what]"
Act_3_Mall3_f074ac97	bob	I'm kinda tired, please take this one also buy my favorite snack.	game/MallScript.rpy	462	bob "[what]"
Act_3_Mall3_e2b3cb0f	m	Okay man.	game/MallScript.rpy	464	m "[what]"
Act_3_Mall3_eca3d7c4		As you are done buying the snacks,you saw natalie talking to someone you don't know.	game/MallScript.rpy	470	"[what]"
Act_3_Mall3_94f3f9c1	natalie	Sorry I'm with someone.	game/MallScript.rpy	474	natalie "[what]"
Act_3_Mall3_737d10a5	sg	Don't be shy we're just gonna some chat.	game/MallScript.rpy	477	sg "[what]"
Act_3_Mall4_1ce2b096	m	[natalie] I'm done buying let's go.Is there a problem?	game/MallScript.rpy	496	m "[what]"
Act_3_Mall4_6a21dc5f	sg	Tsk...	game/MallScript.rpy	499	sg "[what]"
Act_3_Mall4_7be98237	natalie	Thank you.	game/MallScript.rpy	503	natalie "[what]"
Act_3_Mall4_e3087b05	m	No problem. Do you know that guy?	game/MallScript.rpy	505	m "[what]"
Act_3_Mall4_40b9d683	natalie	I don't know he suddenly approach me.	game/MallScript.rpy	508	natalie "[what]"
Act_3_Mall4_0342d8e2	m	Really? We should go back [bob] is waiting.	game/MallScript.rpy	510	m "[what]"
Act_3_Mall4_c77926b2	bob	What took you so long?	game/MallScript.rpy	517	bob "[what]"
Act_3_Mall4_74af98b1	m	I stumbled with [natalie] and some guy is trying to hit her.	game/MallScript.rpy	519	m "[what]"
Act_3_Mall4_9266ef1b	bob	[natalie] are you okay?	game/MallScript.rpy	522	bob "[what]"
Act_3_Mall4_5d8f364d	natalie	I'm okay.	game/MallScript.rpy	525	natalie "[what]"
Act_3_Mall4_85eae986	bob	Good thing he didn't continue bothering you. Anyways you got our snacks?	game/MallScript.rpy	528	bob "[what]"
Act_3_Mall4_7b9ecef0	m	Here I got you. Now we should continue finishing this.	game/MallScript.rpy	530	m "[what]"
Act_4_Mall_05d7af34		You saw the [u] looking at [natalie] in another seat.	game/MallScript.rpy	538	"[what]"
Act_4_Mall_52b0a39d	natalie	He's here.	game/MallScript.rpy	541	natalie "[what]"
Act_4_Mall_5438b38c	bob	Who?	game/MallScript.rpy	544	bob "[what]"
Act_4_Mall_a2a7740d	m	The [u] that was talking to [natalie] earlier.	game/MallScript.rpy	546	m "[what]"
Act_4_Mall_5300c386	bob	Maybe I should confront him.	game/MallScript.rpy	549	bob "[what]"
Act_4_Mall_ac3044ea	natalie	No it's ok maybe he's just eating here.	game/MallScript.rpy	552	natalie "[what]"
Act_4_Mall_ee268710	bob	Ok.	game/MallScript.rpy	555	bob "[what]"
Act_4_Mall_e74cb47a		Couple of minutes later.	game/MallScript.rpy	562	"[what]"
Act_4_Mall_0a25d1b0	bob	Done at last.	game/MallScript.rpy	567	bob "[what]"
Act_4_Mall_8ae8f2b4	m	Thank you guys for the cooperation!	game/MallScript.rpy	569	m "[what]"
Act_4_Mall_58cc832e	natalie	Thank you too.	game/MallScript.rpy	572	natalie "[what]"
Act_4_Mall_1f99e955	bob	Don't mention it. Were suppose to do this together.	game/MallScript.rpy	575	bob "[what]"
Act_4_Mall_8f2a37b3	natalie	I have to go now before it gets dark.	game/MallScript.rpy	578	natalie "[what]"
Act_4_Mall_35d2a7d3	m	Okay we should head out now it's getting night time.	game/MallScript.rpy	580	m "[what]"
Act_4_Mall_9926be42	bob	[natalie] we'll escort you to your ride.	game/MallScript.rpy	583	bob "[what]"
Act_4_Mall_f4ae359c	natalie	Thank you!	game/MallScript.rpy	586	natalie "[what]"
Act_4_Mall_ea103973	bob	Wait up I need to go in the toilet.	game/MallScript.rpy	594	bob "[what]"
Act_4_Mall_1ff159b9		You saw again the [u].	game/MallScript.rpy	598	"[what]"
Act_4_Mall_0c136636	m	Mister is there a problem?	game/MallScript.rpy	600	m "[what]"
Act_4_Mall_fa8a8400	sg	No, there is no problem. I just want to ask the cute girl's name.	game/MallScript.rpy	603	sg "[what]"
Act_4_Mall_37a63f0e	natalie	.....	game/MallScript.rpy	607	natalie "[what]"
Act_4_Mall_34c0ac8c	m	I don't think she wants to share that info so can you please leave?	game/MallScript.rpy	610	m "[what]"
Act_4_Mall_f12b717b	sg	What? I didn't ask you, I'm asking the cute girl.	game/MallScript.rpy	613	sg "[what]"
Act_4_Mall_d9807ec4	m	Mister I don't think she..	game/MallScript.rpy	616	m "[what]"
Act_4_Mall_1e74125c	natalie	It's okay [mc].M-my name is [natalie]	game/MallScript.rpy	619	natalie "[what]"
Act_4_Mall_3b5a871e	sg	That's a beautiful name, we should hang out sometime so give me your number.	game/MallScript.rpy	623	sg "[what]"
Act_4_Mall_f875b7c0	natalie	Sorry but I just met you so I can't give it to you.	game/MallScript.rpy	627	natalie "[what]"
Act_4_Mall_70e32c0c	sg	Ey girl don't need to be hard to get, we all know you'll come with me in the bed.	game/MallScript.rpy	631	sg "[what]"
Act_4_Mall1_474279cf	m	Mister please don't not bother her anymore.She doesn't want to talk to you.	game/MallScript.rpy	650	m "[what]"
Act_4_Mall1_7bd16698	sg	Kid I'm not talking to you and I'm not harming her.	game/MallScript.rpy	653	sg "[what]"
Act_4_Mall1_ed84b48f	m	She's uncomfortable this is my last warning ,mister.	game/MallScript.rpy	655	m "[what]"
Act_4_Mall1_901600ad	sg	For the last time I'm not talking to you go away kid.	game/MallScript.rpy	658	sg "[what]"
Act_4_Mall1_5d8ee304	m	Mister are you aware that you can be taken to custody for this.	game/MallScript.rpy	661	m "[what]"
Act_4_Mall1_44e010a0	sg	What law?	game/MallScript.rpy	664	sg "[what]"
Act_4_Mall1_5f9bc126	m	The safe spaces act.	game/MallScript.rpy	666	m "[what]"
Act_4_Mall1_2cdf81fd	sg	What spaceship are you talking about?Go away and shoo.	game/MallScript.rpy	669	sg "[what]"
Act_4_Mall1_d8a3ec5d		The [sg] walk [natalie] closer.	game/MallScript.rpy	674	"[what]"
Act_4_Mall1_5158e1d5	natalie	kyaah!	game/MallScript.rpy	680	natalie "[what]"
Act_5_Mall1_f01510fe	m	Guards! guards!	game/MallScript.rpy	694	m "[what]"
Act_5_Mall1_6418820a	gd	What's the problem kid?	game/MallScript.rpy	697	gd "[what]"
Act_5_Mall1_0eb77326	m	This guy is harrassing my friend over here.	game/MallScript.rpy	699	m "[what]"
Act_5_Mall1_c398159d	gd	Is this true sir?	game/MallScript.rpy	701	gd "[what]"
Act_5_Mall1_de84a198	sg	Nope this nerd is just making a random accusations.	game/MallScript.rpy	705	sg "[what]"
Act_5_Mall1_9fb64b50	m	No I'm not, You can talk with my friend here.	game/MallScript.rpy	707	m "[what]"
Act_5_Mall1_ba6eda7a	gd	Is your friend telling the truth?	game/MallScript.rpy	711	gd "[what]"
Act_5_Mall1_7cbea75c	natalie	Ummm..	game/MallScript.rpy	715	natalie "[what]"
Act_5_Mall1_08475060	m	[natalie] don't be scared, I got you cover this guy won't come for you anymore.	game/MallScript.rpy	717	m "[what]"
Act_5_Mall1_cf6cc64b	natalie	My friend told the truth.	game/MallScript.rpy	720	natalie "[what]"
Act_5_Mall1_7ccb9fed	sg	What? Now you guys are just pulling some pranks.	game/MallScript.rpy	724	sg "[what]"
Act_5_Mall1_37dff0ba	gd	Ok ok, let's talk this calmly. Miss can you elaborate what happened? 	game/MallScript.rpy	728	gd "[what]"
Act_5_Mall1_e0ba2bc5	natalie	Ok.	game/MallScript.rpy	732	natalie "[what]"
Act_5_Mall1_ba91a7b4		Natalie explained everything happened.	game/MallScript.rpy	735	"[what]"
Act_5_Mall2_6b1814a1	sg	Ouch!What's wrong with you?	game/MallScript.rpy	745	sg "[what]"
Act_5_Mall2_df089ca2	mc	You better leave!	game/MallScript.rpy	748	mc "[what]"
Act_5_Mall2_fd2d0220	sg	Aw!guards! guards!	game/MallScript.rpy	752	sg "[what]"
Act_5_Mall2_13e2b42e	gd	Hey what's the problem here?	game/MallScript.rpy	756	gd "[what]"
Act_5_Mall2_8ad76af1	sg	There's a psycho here help me!	game/MallScript.rpy	760	sg "[what]"
Act_5_Mall2_bd13833b	mc	What? you're the maniac here.	game/MallScript.rpy	762	mc "[what]"
Act_5_Mall2_fa55ff24	gd	Sir you need to come with me.	game/MallScript.rpy	766	gd "[what]"
Act_4_Mall2_14278140	sg	(Approaches [natalie])	game/MallScript.rpy	785	sg "[what]"
Act_4_Mall2_5a7c09c1	sg	Come with me if you don't want your friend be hurt.	game/MallScript.rpy	787	sg "[what]"
Act_4_Mall2_e6aedae2	natalie	O-ok.	game/MallScript.rpy	790	natalie "[what]"
Act_4_Mall2_6be65412	m	......	game/MallScript.rpy	795	m "[what]"
Mall_EndB_10ee846c	centered	A couple of minutes of talk.	game/MallScript.rpy	813	centered "[what]"
Mall_EndB_2934a535	centered	In the end you failed to show the strange guy true colors to the guard and allow,	game/MallScript.rpy	815	centered "[what]"
Mall_EndB_b73d6e14	centered	The Strange person persuade the guard!	game/MallScript.rpy	817	centered "[what]"
Mall_EndB_170f64de	sg	Kiddo I don't think you know how the world works,see you.	game/MallScript.rpy	820	sg "[what]"
Mall_EndM_ac5650b9	centered	A few minutes later.	game/MallScript.rpy	837	centered "[what]"
Mall_EndM_60ca52be	centered	With the attempts of the strange guy to twist the story but you succesfully denied them.	game/MallScript.rpy	839	centered "[what]"
Mall_EndM_8c3f50a0	gd	I see that's what happened.	game/MallScript.rpy	842	gd "[what]"
Mall_EndM_eac02afc	gd	Mister please stay away from this people.	game/MallScript.rpy	845	gd "[what]"
Mall_EndM_cab9cd36	sg	Man, I'm just wanna talk.	game/MallScript.rpy	849	sg "[what]"
Mall_EndM_f34e3945	sg	Hey geek boy!If I see you once more you better run.	game/MallScript.rpy	852	sg "[what]"
Mall_EndM_ac4d1ba1	m	Sir I think you should take him.	game/MallScript.rpy	854	m "[what]"
Mall_EndM_c390c487	sg	What you gonna do dweeb!?	game/MallScript.rpy	857	sg "[what]"
Mall_EndM_e63fe508	m	Sir are you hearing this? He's violating the law.	game/MallScript.rpy	859	m "[what]"
Mall_EndM_d4eeaddb	sg	Again with your space law. I'm a citizen here not an alien.	game/MallScript.rpy	862	sg "[what]"
Mall_EndM1_1c8eefde	m	You should leave.	game/MallScript.rpy	879	m "[what]"
Mall_EndM1_650a7a29	gd	Sir from what I am seeing the kid is right.	game/MallScript.rpy	882	gd "[what]"
Mall_EndM1_6160cfca	sg	What!?	game/MallScript.rpy	886	sg "[what]"
Mall_EndM1_0b43461d	gd	Please leave or I'll arrest you.	game/MallScript.rpy	889	gd "[what]"
Mall_EndM1_e56084d0	sg	Ok, ok I'll leave.	game/MallScript.rpy	893	sg "[what]"
